,lng,lat,count
203,106.5374,26.3794,155
204,106.4826,26.5462,152
205,106.482,26.5463,150
206,106.5377,26.3792,150
207,106.4826,26.5458,150
208,106.6458,26.6232,149
209,106.4755,26.3622,149
210,106.5568,26.3963,146
211,106.4827,26.5459,145
212,106.4471,26.3499,141
213,106.6535,26.4175,140
214,106.6631,26.4396,140
215,106.6226,26.4036,139
216,106.6224,26.4036,137
217,106.4837,26.5456,136
218,106.553,26.4489,136
219,106.5372,26.3793,135
220,106.6229,26.4035,135
221,106.5457,26.3923,135
222,106.4824,26.5457,134
223,106.6248,26.6884,134
224,106.6733,26.5113,133
225,106.5462,26.3924,133
226,106.5933,26.4105,133
227,106.543,26.3807,133
228,106.6712,26.4298,133
229,106.685,26.7469,133
230,106.6909,26.3134,129
231,106.6686,26.6201,128
232,106.687,26.3379,127
233,106.5074,26.3542,126
234,106.4797,26.3581,126
235,106.5919,26.3877,124
236,106.5562,26.3957,123
237,106.5375,26.3794,123
238,106.6863,26.3349,122
239,106.6223,26.4034,122
240,106.6869,26.3378,122
241,106.5405,26.3814,122
242,106.6544,26.4128,121
243,106.6151,26.3744,119
244,106.482,26.546,118
245,106.5569,26.3962,118
246,106.6718,26.44,118
247,106.5429,26.3804,118
248,106.5373,26.3794,118
249,106.5376,26.3793,117
250,106.5579,26.3952,117
251,106.6535,26.4174,116
252,106.4827,26.546,113
253,106.667,26.4121,112
254,106.5531,26.4489,111
255,106.4821,26.5464,111
256,106.6225,26.4032,110
257,106.5424,26.3805,110
258,106.6718,26.4401,110
259,106.4823,26.5456,110
260,106.6734,26.5113,110
261,106.5429,26.3805,110
262,106.543,26.3806,109
263,106.523,26.3858,108
264,106.5073,26.3542,108
265,106.4798,26.358,108
266,106.5582,26.3948,107
267,106.5525,26.3939,107
268,106.5427,26.3806,105
269,106.558,26.3948,104
270,106.6536,26.4174,104
271,106.5581,26.3951,102
272,106.453,26.4109,99
273,106.5569,26.3959,97
274,106.5049,26.3538,97
275,106.5379,26.377,96
276,106.4796,26.3581,96
277,106.5562,26.3956,96
278,106.623,26.4034,95
279,106.6542,26.4129,95
280,106.5669,26.4108,94
281,106.6732,26.5115,94
282,106.6069,26.4688,93
283,106.5377,26.3793,92
284,106.6711,26.4298,91
285,106.5377,26.3787,91
286,106.4752,26.3619,91
287,106.5407,26.3813,90
288,106.5569,26.396,90
289,106.5576,26.3953,90
290,106.5563,26.3959,89
291,106.5632,26.4005,88
292,106.6454,26.6235,88
293,106.5919,26.3878,86
294,106.6354,26.4515,86
295,106.6545,26.4128,86
296,106.4825,26.5464,86
297,106.5569,26.3961,85
298,106.4825,26.5457,84
299,106.6528,26.3874,83
300,106.5575,26.3954,83
301,106.6226,26.4037,82
302,106.7093,26.5076,82
303,106.5567,26.3962,82
304,106.5378,26.3787,82
305,106.5371,26.3791,81
306,106.6227,26.4031,81
307,106.5405,26.3812,81
308,106.5462,26.3925,81
309,106.5577,26.3952,80
310,106.5574,26.3955,79
311,106.5425,26.3803,79
312,106.6252,26.6887,79
313,106.6667,26.412,79
314,106.7133,26.9521,78
315,106.7093,26.5075,78
316,106.5562,26.3955,78
317,106.6248,26.6885,77
318,106.5579,26.3951,77
319,106.482,26.5459,77
320,106.5578,26.3953,76
321,106.6862,26.3381,76
322,106.6862,26.3349,76
323,106.5075,26.3544,76
324,106.5632,26.4004,76
325,106.5631,26.4005,75
326,106.6342,26.383,75
327,106.6648,26.4125,74
328,106.6544,26.4127,74
329,106.6228,26.4036,74
330,106.6201,26.6656,74
331,106.6227,26.4036,74
332,106.4827,26.5458,74
333,106.4472,26.3499,74
334,106.4473,26.3498,73
335,106.5378,26.3791,73
336,106.5367,26.3793,73
337,106.6878,26.771,72
338,106.6851,26.7469,72
339,106.5564,26.396,72
340,106.5365,26.3818,71
341,106.6909,26.3135,71
342,106.5426,26.3806,71
343,106.5458,26.3923,71
344,106.6713,26.4299,70
345,106.5538,26.4439,69
346,106.7793,26.6585,69
347,106.5526,26.4073,69
348,106.6389,26.612,69
349,106.7452,26.6286,68
