wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
2,20.5,4291,O,HS5,20.84,22.71,48.74,1038
5,19.5,4268,O,HS5,11.41,20.9,46.84,1052
7,20,4227,O,HS5,12.94,24.55,48.83,1042
6,20.5,4222,O,HS5,13.42,23.92,48.49,1037
2,7,4218,O,HS5,43.57,33.11,64.74,1125
4,20,4209,O,HS5,11.49,22.33,47.22,1034
3,20.5,4117,O,HS5,15.63,22.85,49.7,1038
1,20.5,4035,O,HS5,23.79,24.62,51.63,1048
6,7,3988,O,HS5,31.86,30.35,62.62,1120
5,20.5,3980,O,HS5,12.12,21.45,46.49,1025
7,20.5,3852,O,HS5,12.19,23.96,48.59,1036
4,20.5,3807,O,HS5,12.26,22.02,47.63,1031
1,7.5,3804,O,HS5,30.11,28.04,59.09,1124
2,21,3718,O,HS5,13.06,23,50.1,1039
5,7,3707,O,HS5,41.96,31.47,64.4,1132
3,21,3679,O,HS5,12.05,22.17,50.16,1045
5,21,3659,O,HS5,10.21,20.91,46.33,1037
1,21,3623,O,HS5,18.16,23.62,50.84,1041
6,21,3612,O,HS5,12.98,22.96,49.02,1040
7,21,3452,O,HS5,13.62,24.24,50.74,1050
4,7,3382,O,HS5,33.18,31.15,62.58,1126
4,21,3359,O,HS5,15.42,21.37,48.46,1038
7,7,3162,O,HS5,31.81,29.66,61.34,1129
2,21.5,3072,O,HS5,10.26,21.54,49.54,1032
1,21.5,3048,O,HS5,13.92,22.01,49.81,1040
6,21.5,2999,O,HS5,11,22.06,49.2,1040
3,21.5,2996,O,HS5,17.09,21.69,49.83,1044
7,21.5,2914,O,HS5,12.27,22.71,49.63,1042
5,21.5,2898,O,HS5,16.48,20.6,47.75,1033
1,7,2883,O,HS5,55.6,30,61.53,1142
4,21.5,2662,O,HS5,10.13,20.88,48.01,1041
7,22,2589,O,HS5,17.3,22.57,51.92,1054
2,22,2550,O,HS5,11.19,20.07,49.06,1046
3,22,2521,O,HS5,12.23,20.26,50.31,1048
1,22,2461,O,HS5,16.84,21.82,50.1,1041
4,22,2459,O,HS5,12.36,20.34,48.17,1035
6,22,2458,O,HS5,13.28,21.67,50.74,1052
2,6.5,2414,O,HS5,46.88,36.08,67.22,1151
5,22,2357,O,HS5,9.89,19.34,48,1037
3,6.5,2266,O,HS5,34.08,30.54,64.37,1142
6,6.5,2152,O,HS5,33.18,30.49,64.09,1136
7,22.5,2063,O,HS5,13.82,20.64,48.83,1036
3,22.5,2031,O,HS5,9.3,19.29,47.57,1033
5,6.5,2010,O,HS5,34.96,33.75,64.81,1149
2,22.5,1971,O,HS5,9.4,19.81,46.47,1020
7,6.5,1958,O,HS5,30.74,31.57,60.95,1131
4,6.5,1935,O,HS5,33.05,30.93,64.98,1159
5,22.5,1921,O,HS5,10.28,20.08,47.04,1026
1,22.5,1896,O,HS5,13.54,20.06,47.64,1034
6,22.5,1876,O,HS5,9.4,19.82,47.65,1029
1,6.5,1868,O,HS5,32.34,29.63,61.05,1136
4,22.5,1845,O,HS5,9.24,18.93,46.87,1019
2,23,1498,O,HS5,9.05,17.6,48.63,1037
7,23,1434,O,HS5,16.76,20.02,49.39,1058
3,23,1415,O,HS5,8.08,19.4,49.54,1038
6,23,1405,O,HS5,16.42,19.43,47.68,1041
5,23,1358,O,HS5,9.37,17.89,46.42,1039
1,23,1343,O,HS5,11.89,19.22,47.8,1046
4,23,1332,O,HS5,9.17,19.27,46.74,1031
2,6,1246,O,HS5,53.51,43.66,67.99,1175
