road,value,avgVhlSpd,mileage_km,vin
O,37803,22.59,2718.56,LFB1E6671KJB07531
O,37794,28.33,7473.56,LFB1E6075KJB05063
O,37688,27.51,2955.39,LFB1E6674KJB08186
O,37627,32.89,3366.15,LFB1E607XKJB08315
O,37563,31.36,3246.94,LFB1E6670KJB08122
O,37552,29.02,22041.57,LFB1E6077KJB03279
O,37547,24.37,2432.57,LFB1E667XKJB03560
O,37491,24.97,3041.66,LFB1E6070KJB05083
O,37484,23.52,2437.76,LFB1E6677KJB03158
O,37469,26.95,3510.54,LFB1E6674KJB03599
O,37443,30.2,3335.34,LFB1E6077KJB06182
G,37334,78.7,8111.53,LFB1E667XKJB03459
O,37288,30.12,4550.56,LFB1E6675KJB03076
O,37279,34.51,11269.47,LFB1E6679KJB00746
O,37252,27.6,2818.71,LFB1E6670KJB05897
G,37129,48.97,5840.69,LFB1E6075KJB06326
S,37116,55.72,6583.9,LFB1E6676KJB02938
O,37115,27.8,2939.15,LFB1E6675KJB04986
O,37103,31.83,5078.59,LFB1E6671KJB06055
O,37101,22.12,2438.81,LFB1E6679KJB03162
O,37091,23.89,2246.67,LFB1E6079KJB06877
O,37045,26.51,2871.94,LFB1E6676KJB05418
O,37020,26.69,2864.48,LFB1E6678KJB04321
O,36904,30.27,2956.76,LFB1E6675KJB02932
O,36873,34.08,12478.46,LFB1E6675KJB07161
O,36812,29.64,2970.65,LFB1E6673KJB02766
O,36768,34.71,7377.77,LFB1E6076KJB04889
O,36721,23.34,2437.99,LFB1E6674KJB05191
O,36706,32.31,3249.71,LFB1E6673KJB03433
O,36649,31.58,9415.75,LFB1E6076KJB04133
O,36642,28.46,3110.97,LFB1E6676KJB03345
O,36575,27.21,2844.56,LFB1E6074KJB04227
O,36553,27.81,4615.97,LFB1E6674KJB03120
G,36516,75.28,7858.51,LFB1E6670KJB05205
O,36487,31.41,4685.29,LFB1E6079KJB06278
O,36483,26.37,2486.18,LFB1E6674KJB02906
O,36474,32,3040.37,LFB1E6679KJB01816
O,36395,40.38,3963.89,LFB1E6676KJB03474
O,36334,30.74,6944.75,LFB1E667XKJB05079
O,36268,35.77,4548.73,LFB1E6672KJB07151
O,36249,41.35,4220.96,LFB1E6077KJB06800
G,36193,44.29,4350.83,LFB1E6670KJB03695
O,36150,65.41,13223.74,LFB1E6078KJB04277
O,36088,33.7,3240.77,LFB1E6679KJB03131
O,36034,56.26,5535.38,LFB1E6078KJB00696
O,36023,24.12,4132.71,LFB1E607XKJB05351
O,36007,31.71,3185.43,LFB1E6675KJB05474
O,35908,33.3,4754.88,LFB1E6076KJB06397
O,35896,20.67,2521.73,LFB1E6673KJB07157
O,35895,25.04,2862.41,LFB1E6678KJB06554
O,35894,27.31,2955.32,LFB1E6078KJB04764
O,35860,25.26,3958.86,LFB1E6075KJB02857
O,35857,38.55,3897.91,LFB1E6073KJB06034
O,35819,28.31,2873.4,LFB1E6677KJB06092
O,35790,27.62,2706.88,LFB1E6679KJB06112
G,35750,68.99,6782.84,LFB1E6676KJB03118
O,35737,30.61,3177.5,LFB1E6077KJB03556
O,35728,38.15,4365.57,LFB1E6670KJB05706
O,35714,33.03,3082.43,LFB1E6674KJB02890
O,35710,31.45,3096.2,LFB1E667XKJB05745
O,35708,27.01,4154.29,LFB1E6678KJB05341
O,35688,33.14,3449.16,LFB1E6675KJB05412
O,35640,25.53,2788.12,LFB1E6674KJB04333
S,35599,49.96,4831.48,LFB1E6077KJB02715
O,35576,27.06,2612.71,LFB1E6070KJB11109
O,35563,33.83,27552.53,LFB1E6677KJB05380
G,35545,78.85,11012.12,LFB1E6074KJB03403
O,35504,26.05,11676.37,LFB1E6671KJB08016
O,35467,23.38,2267.72,LFB1E667XKJB03073
O,35448,33.11,3700.52,LFB1E6072KJB05019
O,35416,26.74,3019.12,LFB1E607XKJB05527
O,35383,25.76,9011.12,LFB1E6076KJB03970
O,35369,35.28,11452.95,LFB1E6678KJB07610
O,35301,34.62,5898,LFB1E6074KJB04437
O,35281,31.04,3140.84,LFB1E6673KJB06011
O,35151,28.52,3408.65,LFB1E6670KJB04586
O,35126,35.24,3289.05,LFB1E6676KJB02910
O,35087,35.57,3388.67,LFB1E6073KJB00587
O,35067,28.29,12321.7,LFB1E6678KJB08885
O,35010,33.98,3251.18,LFB1E607XKJB07455
O,34983,36.85,8881.47,LFB1E6675KJB06107
G,34981,67.55,11387.75,LFB1E6674KJB04025
G,34911,81.12,8972.55,LFB1E6673KJB04257
O,34905,34.71,18315.09,LFB1E6679KJB06790
O,34901,34.22,3284.99,LFB1E667XKJB04319
O,34811,28.14,2511.22,LFB1E6677KJB02169
G,34803,74.61,7199.59,LFB1E6679KJB03727
O,34767,37.44,4701.26,LFB1E6073KJB07331
G,34740,54.77,5193.99,LFB1E6674KJB02159
O,34732,29.59,4381.56,LFB1E6677KJB04441
O,34708,74.14,11755.07,LFB1E6078KJB04280
O,34696,35.63,4368.34,LFB1E6675KJB06267
O,34689,26.2,2485.56,LFB1E6071KJB05335
O,34642,22.55,2079.33,LFB1E6072KJB04744
O,34619,33.67,3405.02,LFB1E607XKJB00571
O,34599,36.06,3451.02,LFB1E6671KJB07643
O,34569,28.23,3466.73,LFB1E6073KJB04753
O,34545,32.15,3031.2,LFB1E6070KJB06802
