acc,category,value
-3.63,AY,721
-3.63,AX,591
-3.61,AY,766
-3.61,AX,630
-3.58,AY,403
-3.58,AX,346
-3.55,AY,745
-3.55,AX,688
-3.53,AY,870
-3.53,AX,718
-3.5,AY,1302
-3.5,AX,752
-3.47,AY,446
-3.47,AX,450
-3.45,AY,1016
-3.45,AX,885
-3.42,AY,1001
-3.42,AX,886
-3.39,AY,543
-3.39,AX,422
-3.36,AY,1645
-3.36,AX,975
-3.34,AY,1174
-3.34,AX,1081
-3.31,AY,1138
-3.31,AX,1113
-3.28,AY,643
-3.28,AX,577
-3.26,AY,1277
-3.26,AX,1197
-3.23,AY,2122
-3.23,AX,1465
-3.2,AY,1525
-3.2,AX,1412
-3.17,AY,774
-3.17,AX,727
-3.15,AY,1621
-3.15,AX,1479
-3.12,AY,1607
-3.12,AX,1685
-3.09,AY,2735
-3.09,AX,1710
-3.07,AY,911
-3.07,AX,896
-3.04,AY,1918
-3.04,AX,1870
-3.01,AY,2013
-3.01,AX,2057
-2.98,AY,2172
-2.98,AX,2002
-2.96,AY,1123
-2.96,AX,1066
-2.93,AY,3514
-2.93,AX,2310
-2.9,AY,2467
-2.9,AX,2380
-2.88,AY,1298
-2.88,AX,1321
-2.85,AY,2690
-2.85,AX,2603
-2.82,AY,2795
-2.82,AX,2855
-2.79,AY,4518
-2.79,AX,2988
-2.77,AY,1552
-2.77,AX,1517
-2.74,AY,3339
-2.74,AX,3150
-2.71,AY,3566
-2.71,AX,3588
-2.69,AY,3745
-2.69,AX,3699
-2.66,AY,3775
-2.66,AX,1926
-2.63,AY,4072
-2.63,AX,4019
-2.6,AY,4327
-2.6,AX,4227
-2.58,AY,4503
-2.58,AX,4586
-2.55,AY,2375
-2.55,AX,2410
-2.52,AY,7322
-2.52,AX,4961
-2.5,AY,5239
-2.5,AX,5403
-2.47,AY,5445
-2.47,AX,5679
-2.44,AY,2813
-2.44,AX,3014
-2.41,AY,5855
-2.41,AX,6136
-2.39,AY,9451
-2.39,AX,6486
-2.36,AY,3233
-2.36,AX,3516
-2.33,AY,7942
-2.33,AX,7168
-2.31,AY,12267
-2.31,AX,7648
-2.28,AY,8830
-2.28,AX,8082
-2.25,AY,3968
-2.25,AX,4229
-2.22,AY,12137
-2.22,AX,8970
-2.2,AY,8627
-2.2,AX,9479
-2.17,AY,8934
-2.17,AX,10160
-2.14,AY,4490
-2.14,AX,5314
-2.12,AY,9611
-2.12,AX,10827
-2.09,AY,15463
-2.09,AX,11671
-2.06,AY,10927
-2.06,AX,12323
-2.03,AY,5774
-2.03,AX,6467
-2.01,AY,11585
-2.01,AX,13641
-1.98,AY,12160
-1.98,AX,14353
-1.95,AY,19340
-1.95,AX,15497
-1.93,AY,6656
-1.93,AX,8105
-1.9,AY,13817
-1.9,AX,16567
-1.87,AY,14402
-1.87,AX,17920
-1.84,AY,7471
-1.84,AX,9292
-1.82,AY,23416
-1.82,AX,19104
-1.79,AY,16530
-1.79,AX,20696
-1.76,AY,17602
-1.76,AX,22228
-1.74,AY,8772
-1.74,AX,11264
-1.71,AY,18731
-1.71,AX,23662
-1.68,AY,29126
-1.68,AX,25270
-1.65,AY,20714
-1.65,AX,26653
-1.63,AY,10546
-1.63,AX,13935
-1.6,AY,21742
-1.6,AX,28970
-1.57,AY,22910
-1.57,AX,30403
-1.55,AY,35744
-1.55,AX,32075
-1.52,AY,12380
-1.52,AX,16604
-1.49,AY,25528
-1.49,AX,35128
-1.46,AY,26945
-1.46,AX,36576
-1.44,AY,13980
-1.44,AX,19237
-1.41,AY,28754
-1.41,AX,40049
-1.38,AY,45644
-1.38,AX,41679
-1.36,AY,32078
-1.36,AX,44185
-1.33,AY,16680
-1.33,AX,22870
-1.3,AY,34310
-1.3,AX,46784
-1.27,AY,35421
-1.27,AX,49445
-1.25,AY,56698
-1.25,AX,51365
-1.22,AY,19627
-1.22,AX,26416
-1.19,AY,40618
-1.19,AX,54765
-1.17,AY,43001
-1.17,AX,57219
-1.14,AY,44304
-1.14,AX,59565
-1.11,AY,46684
-1.11,AX,30295
-1.08,AY,49523
-1.08,AX,63439
-1.06,AY,51690
-1.06,AX,66219
-1.03,AY,54867
-1.03,AX,68764
-1,AY,28461
-1,AX,35453
-0.98,AY,89607
-0.98,AX,72822
-0.95,AY,64633
-0.95,AX,75330
-0.92,AY,33568
-0.92,AX,38875
-0.9,AY,70009
-0.9,AX,79648
-0.87,AY,74486
-0.87,AX,82967
-0.84,AY,120520
-0.84,AX,86654
-0.81,AY,42610
-0.81,AX,44471
-0.79,AY,89871
-0.79,AX,93306
-0.76,AY,96712
-0.76,AX,98218
-0.73,AY,104029
-0.73,AX,104031
-0.71,AY,55329
-0.71,AX,54696
-0.68,AY,178672
-0.68,AX,114269
-0.65,AY,131656
-0.65,AX,123773
