veh_series,road,HiBeam,LowBeam,top,vin
HS5,G,0.56,82.78,83.34,LFB1E6077KJB12662
HS5,G,0,60,60,LFB1E6076KJB07744
HS5,G,0,4.9,4.9,LFB1E6072KJB08387
HS5,G,0,33.33,33.33,LFB1E6679KJB04540
HS5,G,2.79,60.01,62.8,LFB1E607XKJB04331
HS5,G,57.24,95.92,153.16,LFB1E6676KJB12062
HS5,G,0,0,0,LFB1E6679KJB06501
HS5,G,0.02,87.48,87.5,LFB1E6675KJB07144
HS5,G,23.82,75,98.82,LFB1E6075KJB11039
HS5,G,50,95,145,LFB1E6072KJB13251
HS5,G,50,100,150,LFB1E6075KJB06682
HS5,G,30.7,59.14,89.84,LFB1E6679KJB07454
HS5,G,1.19,42.44,43.63,LFB1E6675KJB08097
HS5,G,0,75,75,LFB1E607XKJB07245
HS5,G,0,48.38,48.38,LFB1E6079KJB08953
HS5,G,4.64,38.07,42.71,LFB1E6070KJB07271
HS5,G,41.66,65.38,107.04,LFB1E6070KJB09232
HS5,G,13.44,48.26,61.7,LFB1E6077KJB06182
HS5,G,2.58,25.04,27.62,LFB1E6072KJB04758
HS5,G,0,0,0,LFB1E6078KJB14209
HS5,G,5.71,28.57,34.28,LFB1E6078KJB07891
HS5,G,0.26,2.37,2.63,LFB1E6671KJB03205
HS5,G,0,53.85,53.85,LFB1E6674KJB11847
HS5,G,0,64.69,64.69,LFB1E6677KJB12409
HS5,G,3.83,20.89,24.72,LFB1E6072KJB06719
HS5,G,30.02,68.42,98.44,LFB1E6079KJB14770
HS5,G,50,100,150,LFB1E6679KJB16185
HS5,G,26.62,41.94,68.56,LFB1E6077KJB11947
HS5,G,4.44,41.48,45.92,LFB1E6076KJB07081
HS5,G,0,76.55,76.55,LFB1E6071KJB04704
HS5,G,0,100,100,LFB1E6076KJB09042
HS5,G,0,42.86,42.86,LFB1E6071KJB03696
HS5,G,1.54,73.57,75.11,LFB1E6671KJB16973
HS5,G,0,34.09,34.09,LFB1E6070KJB17010
HS5,G,43.3,100,143.3,LFB1E6679KJB03825
HS5,G,2.18,58.76,60.94,LFB1E6071KJB05657
HS5,G,2.78,58.33,61.11,LFB1E6678KJB15884
HS5,G,0,50,50,LFB1E6676KJB11347
HS5,G,0,62.96,62.96,LFB1E6677KJB01054
HS5,G,27.78,50,77.78,LFB1E6677KJB03015
HS5,G,49.94,100,149.94,LFB1E6673KJB15520
HS5,G,0,68.63,68.63,LFB1E6679KJB06739
HS5,G,24.84,50.24,75.08,LFB1E6075KJB05967
HS5,G,6.88,82.73,89.61,LFB1E6076KJB10885
HS5,G,58.54,83.1,141.64,LFB1E6676KJB06990
HS5,G,1.97,40.09,42.06,LFB1E6674KJB04414
HS5,G,0,40.91,40.91,LFB1E6677KJB15830
HS5,G,0,11.62,11.62,LFB1E6077KJB04514
HS5,G,28.7,50.32,79.02,LFB1E6675KJB10285
HS5,G,13,30.66,43.66,LFB1E6074KJB05913
HS5,G,3.28,70.64,73.92,LFB1E6070KJB06556
HS5,G,0.2,66.89,67.09,LFB1E6077KJB07428
HS5,G,0.29,98.54,98.83,LFB1E6074KJB06866
HS5,G,0,2.5,2.5,LFB1E6075KJB11784
HS5,G,0.16,87.88,88.04,LFB1E607XKJB10386
HS5,G,0.97,63.81,64.78,LFB1E667XKJB06491
HS5,G,2.72,59.47,62.19,LFB1E6679KJB12556
HS5,G,9.06,99.92,108.98,LFB1E6675KJB13199
HS5,G,0,2.69,2.69,LFB1E6074KJB08827
HS5,G,11.71,23.32,35.03,LFB1E6679KJB14517
HS5,G,13.34,75.74,89.08,LFB1E6071KJB14388
HS5,G,76.98,86.66,163.64,LFB1E6076KJB05413
HS5,G,7.13,78.57,85.7,LFB1E6674KJB11184
HS5,G,15.83,100,115.83,LFB1E6674KJB13145
